entityID,name,position,type
DDI-DrugBank.d157.s0.e0,cimetidine,34-43,drug
DDI-DrugBank.d157.s0.e1,warfarin,49-56,drug
DDI-DrugBank.d157.s0.e2,Femara,97-102,brand
DDI-DrugBank.d157.s1.e0,Femara,48-53,brand
DDI-DrugBank.d157.s1.e1,tamoxifen,59-67,drug
DDI-DrugBank.d157.s1.e2,letrozole,108-116,drug
DDI-DrugBank.d157.s2.e0,Femara,54-59,brand
DDI-DrugBank.d110.s0.e0,anesthetic solutions,28-47,group
DDI-DrugBank.d110.s0.e1,epinephrine,60-70,drug
DDI-DrugBank.d110.s0.e2,norepinephrine,75-88,drug
DDI-DrugBank.d110.s0.e3,monoamine oxidase inhibitors,112-139,group
DDI-DrugBank.d110.s0.e4,tricyclic antidepressants,142-166,group
DDI-DrugBank.d110.s0.e5,phenothiazines,171-184,group
DDI-DrugBank.d110.s3.e0,vasopressor drugs,29-45,group
DDI-DrugBank.d110.s3.e1,ergot-type oxytocic drugs,114-138,group
DDI-DrugBank.d110.s4.e0,sulfonamides,79-90,group
DDI-DrugBank.d110.s5.e0,chloroprocaine,11-24,drug
DDI-DrugBank.d110.s5.e1,sulfonamide drug,73-88,group
DDI-DrugBank.d7.s0.e0,cyclophosphamide,54-69,drug
DDI-DrugBank.d7.s0.e1,phenobarbital,139-151,drug
DDI-DrugBank.d7.s1.e0,cyclophosphamide,102-117,drug
DDI-DrugBank.d7.s1.e1,cyclophosphamide,131-146,drug
DDI-DrugBank.d7.s2.e0,Cyclophosphamide,0-15,drug
DDI-DrugBank.d7.s2.e1,succinylcholine chloride,130-153,drug
DDI-DrugBank.d7.s3.e0,cyclophosphamide,35-50,drug
DDI-DrugBank.d172.s0.e0,celecoxib,49-57,drug
DDI-DrugBank.d172.s1.e0,Celecoxib,0-8,drug
DDI-DrugBank.d172.s2.e0,celecoxib,21-29,drug
DDI-DrugBank.d172.s3.e0,celecoxib,31-39,drug
DDI-DrugBank.d172.s4.e0,celecoxib,36-44,drug
DDI-DrugBank.d172.s6.e0,celecoxib,22-30,drug
DDI-DrugBank.d172.s6.e1,fluconazole,90-100,drug
DDI-DrugBank.d172.s6.e2,lithium,106-112,drug
DDI-DrugBank.d172.s7.e0,nonsteroidal anti-inflammatory drugs,16-51,group
DDI-DrugBank.d172.s7.e1,NSAIDs,54-59,group
DDI-DrugBank.d172.s7.e2,furosemide,107-116,drug
DDI-DrugBank.d172.s7.e3,ACE inhibitors,122-135,group
DDI-DrugBank.d172.s8.e0,celecoxib,12-20,drug
DDI-DrugBank.d172.s8.e1,glyburide,73-81,drug
DDI-DrugBank.d172.s8.e2,ketoconazole,84-95,drug
DDI-DrugBank.d172.s8.e3,methotrexate,98-109,drug
DDI-DrugBank.d172.s8.e4,phenytoin,112-120,drug
DDI-DrugBank.d172.s8.e5,tolbutamide,123-133,drug
DDI-DrugBank.d172.s8.e6,warfarin,140-147,drug
DDI-DrugBank.d172.s9.e0,ACE inhibitors,0-13,group
DDI-DrugBank.d172.s9.e1,NSAIDs,37-42,group
DDI-DrugBank.d172.s9.e2,Angiotensin Converting Enzyme (ACE) inhibitors,88-133,group
DDI-DrugBank.d172.s10.e0,CELEBREX,66-73,brand
DDI-DrugBank.d172.s10.e1,ACE-inhibitors,94-107,group
DDI-DrugBank.d172.s11.e0,Furosemide,0-9,drug
DDI-DrugBank.d172.s11.e1,NSAIDs,86-91,group
DDI-DrugBank.d172.s11.e2,furosemide,130-139,drug
DDI-DrugBank.d172.s11.e3,thiazides,145-153,group
DDI-DrugBank.d172.s13.e0,Aspirin,0-6,brand
DDI-DrugBank.d172.s13.e1,CELEBREX,9-16,brand
DDI-DrugBank.d172.s13.e2,aspirin,44-50,brand
DDI-DrugBank.d172.s14.e0,aspirin,39-45,brand
DDI-DrugBank.d172.s14.e1,CELEBREX,52-59,brand
DDI-DrugBank.d172.s14.e2,CELEBREX,153-160,brand
DDI-DrugBank.d172.s15.e0,CELEBREX,41-48,brand
DDI-DrugBank.d172.s15.e1,aspirin,74-80,brand
DDI-DrugBank.d172.s16.e0,Fluconazole,0-10,drug
DDI-DrugBank.d172.s16.e1,fluconazole,43-53,drug
DDI-DrugBank.d172.s16.e2,celecoxib,103-111,drug
DDI-DrugBank.d172.s17.e0,celecoxib,42-50,drug
DDI-DrugBank.d172.s17.e1,fluconazole,79-89,drug
DDI-DrugBank.d172.s18.e0,CELEBREX,0-7,brand
DDI-DrugBank.d172.s18.e1,fluconazole,83-93,drug
DDI-DrugBank.d172.s19.e0,Lithium,0-6,drug
DDI-DrugBank.d172.s19.e1,lithium,69-75,drug
DDI-DrugBank.d172.s19.e2,lithium,141-147,drug
DDI-DrugBank.d172.s19.e3,CELEBREX,165-172,brand
DDI-DrugBank.d172.s19.e4,lithium,219-225,drug
DDI-DrugBank.d172.s20.e0,lithium,12-18,drug
DDI-DrugBank.d172.s20.e1,CELEBREX,63-70,brand
DDI-DrugBank.d172.s21.e0,Methotrexate,0-11,drug
DDI-DrugBank.d172.s21.e1,methotrexate,78-89,drug
