sentenceID,sentenceText
DDI-DrugBank.d157.s0,Clinical interaction studies with cimetidine and warfarin indicated that the coadministration of Femara with these drugs does not result in clinically- significant drug interactions.
DDI-DrugBank.d157.s1,(See CLINICAL PHARMACOLOGY) Coadministration of Femara and tamoxifen 20 mg daily resulted in a reduction of letrozole plasma levels by 38% on average.
DDI-DrugBank.d157.s2,There is no clinical experience to date on the use of Femara in combination with other anticancer agents.
DDI-DrugBank.d157.s3,Drug/Laboratory Test-Interactions None observed.
DDI-DrugBank.d110.s0,"The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension."
DDI-DrugBank.d110.s1,Concurrent use of these agents should generally be avoided.
DDI-DrugBank.d110.s2,"In situations when concurrent therapy is necessary, careful patient monitoring is essential."
DDI-DrugBank.d110.s3,"Concurrent administration of vasopressor drugs (for the treatment of hypotension related to obstetric blocks) and ergot-type oxytocic drugs may cause severe, persistent hypertension or cerebrovascular accidents."
DDI-DrugBank.d110.s4,The para-aminobenzoic acid metabolite of chloroprocaine inhibits the action of sulfonamides.
DDI-DrugBank.d110.s5,"Therefore, chloroprocaine should not be used in any condition in which a sulfonamide drug is being employed."
DDI-DrugBank.d7.s0,The rate of metabolism and the leukopenic activity of cyclophosphamide reportedly are increased by chronic administration of high doses of phenobarbital.
DDI-DrugBank.d7.s1,"The physician should be alert for possible combined drug actions, desirable or undesirable, involving cyclophosphamide even though cyclophosphamide has been used successfully concurrently with other drugs, including other cytotoxic drugs."
DDI-DrugBank.d7.s2,"Cyclophosphamide treatment, which causes a marked and persistent inhibition of cholinesterase activity, potentiates the effect of succinylcholine chloride."
DDI-DrugBank.d7.s3,"If a patient has been treated with cyclophosphamide within 10 days of general anesthesia, the anesthesiologist should be alerted."
DDI-DrugBank.d172.s0,General: Significant interactions may occur when celecoxib is administered together with drugs that inhibit P450 2C9.
DDI-DrugBank.d172.s1,Celecoxib metabolism is predominantly mediated via cytochrome P450 2C9 in the liver.
DDI-DrugBank.d172.s2,Co-administration of celecoxib with drugs that are known to inhibit 2C9 should be done with caution.
DDI-DrugBank.d172.s3,"In vitro studies indicate that celecoxib is not an inhibitor of cytochrome P450 2C9, 2C19 or 3A4."
DDI-DrugBank.d172.s4,"In vitro studies also indicate that celecoxib, although not a substrate, is an inhibitor of cytochrome P450 2D6."
DDI-DrugBank.d172.s5,"Therefore, there is a potential for an in vivo drug interaction with drugs that are metabolized by P450 2D6."
DDI-DrugBank.d172.s6,Clinical studies with celecoxib have identified potentially significant interactions with fluconazole and lithium.
DDI-DrugBank.d172.s7,Experience with nonsteroidal anti-inflammatory drugs (NSAIDs) suggests the potential for interactions with furosemide and ACE inhibitors.
DDI-DrugBank.d172.s8,"The effects celecoxib on the pharmacokinetics and/or pharmacodynamics of glyburide, ketoconazole, methotrexate, phenytoin, tolbutamide, and warfarin have been studied in vivo and clinically important interactions have not been found."
DDI-DrugBank.d172.s9,ACE inhibitors: Reports suggest that NSAIDs may diminish the antihypertensive effect of Angiotensin Converting Enzyme (ACE) inhibitors.
DDI-DrugBank.d172.s10,This interaction should be given consideration in patients taking CELEBREX concomitantly with ACE-inhibitors.
DDI-DrugBank.d172.s11,"Furosemide: Clinical studies, as well as post marketing observations, have shown that NSAIDs can reduce the natriuretic effect of furosemide and thiazides in some patients."
DDI-DrugBank.d172.s12,This response has been attributed to inhibition of renal prostaglandin synthesis.
DDI-DrugBank.d172.s13,Aspirin: CELEBREX can be used with low dose aspirin.
DDI-DrugBank.d172.s14,"However, concomitant administration of aspirin with CELEBREX may result in an increased rate of GI ulceration or other complications, compared to use of CELEBREX alone."
DDI-DrugBank.d172.s15,"Because of its lack of platelet effects, CELEBREX is not a substitute for aspirin for cardiovascular prophylaxis."
DDI-DrugBank.d172.s16,Fluconazole: Concomitant administration of fluconazole at 200 mg QD resulted in a two-fold increase in celecoxib plasma concentration.
DDI-DrugBank.d172.s17,This increase is due to the inhibition of celecoxib metabolism via P450 2C9 by fluconazole (see CLINICAL PHARMACOLOGY - Pharmacokinetics: Metabolism).
DDI-DrugBank.d172.s18,CELEBREX should be introduced at the lowest recommended dose in patients receiving fluconazole.
DDI-DrugBank.d172.s19,"Lithium: In a study conducted in healthy subjects, mean steady-state lithium plasma levels increased approximately 17% in subjects receiving lithium 450 mg BID with CELEBREX 200 mg BID as compared to subjects receiving lithium alone."
DDI-DrugBank.d172.s20,Patients on lithium treatment should be closely monitored when CELEBREX is introduced or withdrawn.
DDI-DrugBank.d172.s21,"Methotrexate: In an interaction study of rheumatoid arthritis patients taking methotrexate, CELEBREX did not have a significant effect on the pharmacokinetics of methotrexate."
DDI-DrugBank.d172.s22,Warfarin: The effect of celecoxib on the anti-coagulant effect of warfarin was studied in a group of healthy subjects receiving daily doses of 2-5 mg of warfarin.
DDI-DrugBank.d172.s23,"In these subjects, celecoxib did not alter the anticoagulant effect of warfarin as determined by prothrombin time."
DDI-DrugBank.d172.s24,"However, caution should be used when administering CELEBREX with warfarin since these patients are at increased risk of bleeding complications."
DDI-DrugBank.d180.s0,Digitalis toxicity may be aggravated by the initial release of norepinephrine caused by Bretylium Tosylate Injection.
DDI-DrugBank.d180.s1,The pressor effects of catecholamines such as dopamine or norepinephrine are enhanced by Bretylium Tosylate.
DDI-DrugBank.d180.s2,"When catecholamines are administered, dilute solutions should be used and blood pressure should be monitored closely."
DDI-DrugBank.d180.s3,"Although there is little published information on concomitant administration of lidocaine and Bretylium Tosylate, these drugs are often administered concurrently without any evidence of interactions resulting in adverse effects or diminished efficacy."
DDI-DrugBank.d320.s0,Chirocaine   should be used with caution in patients receiving other local anesthetics or agents structurally related to amide-type local anesthetics since the toxic effects of these drugs could be additive.
